[2025-02-07 02:08:37,573] app INFO - http://localhost:5000/api/fatura/?data_beg=0020-02-01&data_end=2025-02-28: Requested
[2025-02-07 02:08:37,575] app INFO - http://localhost:5000/api/fatura/?data_beg=0020-02-01&data_end=2025-02-28: Completed
[2025-02-07 02:08:37,619] app INFO - http://localhost:5000/api/fatura/getTotalAmountByCartegory?data_inicio=0020-02-01&data_fim=2025-02-28: Requested
[2025-02-07 02:08:37,621] app INFO - http://localhost:5000/api/fatura/getTotalAmountByCartegory?data_inicio=0020-02-01&data_fim=2025-02-28: Completed
[2025-02-07 02:08:38,207] app INFO - http://localhost:5000/api/fatura/getTotalAmountByCartegory?data_inicio=0203-02-01&data_fim=2025-02-28: Requested
[2025-02-07 02:08:38,209] app INFO - http://localhost:5000/api/fatura/getTotalAmountByCartegory?data_inicio=0203-02-01&data_fim=2025-02-28: Completed
[2025-02-07 02:08:38,210] app INFO - http://localhost:5000/api/fatura/?data_beg=0203-02-01&data_end=2025-02-28: Requested
[2025-02-07 02:08:38,212] app INFO - http://localhost:5000/api/fatura/?data_beg=0203-02-01&data_end=2025-02-28: Completed
[2025-02-07 02:08:38,985] app INFO - http://localhost:5000/api/fatura/getTotalAmountByCartegory?data_inicio=&data_fim=2025-02-28: Requested
[2025-02-07 02:08:38,988] app INFO - http://localhost:5000/api/fatura/getTotalAmountByCartegory?data_inicio=&data_fim=2025-02-28: Completed
[2025-02-07 02:08:39,857] app INFO - http://localhost:5000/api/fatura/getTotalAmountByCartegory?data_inicio=0003-02-01&data_fim=2025-02-28: Requested
[2025-02-07 02:08:39,860] app INFO - http://localhost:5000/api/fatura/getTotalAmountByCartegory?data_inicio=0003-02-01&data_fim=2025-02-28: Completed
[2025-02-07 02:08:39,890] app INFO - http://localhost:5000/api/fatura/?data_beg=0003-02-01&data_end=2025-02-28: Requested
[2025-02-07 02:08:39,893] app INFO - http://localhost:5000/api/fatura/?data_beg=0003-02-01&data_end=2025-02-28: Completed
[2025-02-07 02:08:40,675] app INFO - http://localhost:5000/api/fatura/getTotalAmountByCartegory?data_inicio=&data_fim=2025-02-28: Requested
[2025-02-07 02:08:40,677] app INFO - http://localhost:5000/api/fatura/getTotalAmountByCartegory?data_inicio=&data_fim=2025-02-28: Completed
[2025-02-07 02:08:41,961] app INFO - http://localhost:5000/api/fatura/getTotalAmountByCartegory?data_inicio=0002-02-01&data_fim=2025-02-28: Requested
[2025-02-07 02:08:41,964] app INFO - http://localhost:5000/api/fatura/getTotalAmountByCartegory?data_inicio=0002-02-01&data_fim=2025-02-28: Completed
[2025-02-07 02:08:41,977] app INFO - http://localhost:5000/api/fatura/?data_beg=0002-02-01&data_end=2025-02-28: Requested
[2025-02-07 02:08:41,980] app INFO - http://localhost:5000/api/fatura/?data_beg=0002-02-01&data_end=2025-02-28: Completed
[2025-02-07 02:08:42,211] app INFO - http://localhost:5000/api/fatura/getTotalAmountByCartegory?data_inicio=0020-02-01&data_fim=2025-02-28: Requested
[2025-02-07 02:08:42,214] app INFO - http://localhost:5000/api/fatura/getTotalAmountByCartegory?data_inicio=0020-02-01&data_fim=2025-02-28: Completed
[2025-02-07 02:08:42,254] app INFO - http://localhost:5000/api/fatura/?data_beg=0020-02-01&data_end=2025-02-28: Requested
[2025-02-07 02:08:42,256] app INFO - http://localhost:5000/api/fatura/?data_beg=0020-02-01&data_end=2025-02-28: Completed
[2025-02-07 02:08:42,271] app INFO - http://localhost:5000/api/fatura/?data_beg=0200-02-01&data_end=2025-02-28: Requested
[2025-02-07 02:08:42,276] app INFO - http://localhost:5000/api/fatura/?data_beg=0200-02-01&data_end=2025-02-28: Completed
[2025-02-07 02:08:42,362] app INFO - http://localhost:5000/api/fatura/getTotalAmountByCartegory?data_inicio=0200-02-01&data_fim=2025-02-28: Requested
[2025-02-07 02:08:42,365] app INFO - http://localhost:5000/api/fatura/getTotalAmountByCartegory?data_inicio=0200-02-01&data_fim=2025-02-28: Completed
[2025-02-07 02:08:42,514] app INFO - http://localhost:5000/api/fatura/getTotalAmountByCartegory?data_inicio=2003-02-01&data_fim=2025-02-28: Requested
[2025-02-07 02:08:42,517] app INFO - http://localhost:5000/api/fatura/getTotalAmountByCartegory?data_inicio=2003-02-01&data_fim=2025-02-28: Completed
[2025-02-07 02:08:42,518] app INFO - http://localhost:5000/api/fatura/?data_beg=2003-02-01&data_end=2025-02-28: Requested
[2025-02-07 02:08:42,521] app INFO - http://localhost:5000/api/fatura/?data_beg=2003-02-01&data_end=2025-02-28: Completed
